; This ASCII spreadsheet file contains the y- and z-coordinates
; of the GRID-holes in the beam coordinate system used by the STARK-code
; (this is the coordinate system with the x-axis on the beam axis and
;  the y-axis in the xy-plane of the machine coordinate system).
; The coordinates are given in [m].
;
;     y [m]        z[m]
 -0.060000000      0.013965517
 -0.048000000      0.013965517
 -0.036000000      0.013965517
 -0.024000000      0.013965517
 -0.012000000      0.013965517
    0.0000000      0.013965517
  0.012000000      0.013965517
  0.024000000      0.013965517
  0.036000000      0.013965517
  0.048000000      0.013965517
  0.060000000      0.013965517
 -0.060000000      0.049137931
 -0.048000000      0.049137931
 -0.036000000      0.049137931
 -0.024000000      0.049137931
 -0.012000000      0.049137931
    0.0000000      0.049137931
  0.012000000      0.049137931
  0.024000000      0.049137931
  0.036000000      0.049137931
  0.048000000      0.049137931
  0.060000000      0.049137931
 -0.060000000      0.084310345
 -0.048000000      0.084310345
 -0.036000000      0.084310345
 -0.024000000      0.084310345
 -0.012000000      0.084310345
    0.0000000      0.084310345
  0.012000000      0.084310345
  0.024000000      0.084310345
  0.036000000      0.084310345
  0.048000000      0.084310345
  0.060000000      0.084310345
 -0.060000000       0.11948276
 -0.048000000       0.11948276
 -0.036000000       0.11948276
 -0.024000000       0.11948276
 -0.012000000       0.11948276
    0.0000000       0.11948276
  0.012000000       0.11948276
  0.024000000       0.11948276
  0.036000000       0.11948276
  0.048000000       0.11948276
  0.060000000       0.11948276
 -0.060000000       0.15465517
 -0.048000000       0.15465517
 -0.036000000       0.15465517
 -0.024000000       0.15465517
 -0.012000000       0.15465517
    0.0000000       0.15465517
  0.012000000       0.15465517
  0.024000000       0.15465517
  0.036000000       0.15465517
  0.048000000       0.15465517
  0.060000000       0.15465517
 -0.060000000       0.18982759
 -0.048000000       0.18982759
 -0.036000000       0.18982759
 -0.024000000       0.18982759
 -0.012000000       0.18982759
    0.0000000       0.18982759
  0.012000000       0.18982759
  0.024000000       0.18982759
  0.036000000       0.18982759
  0.048000000       0.18982759
  0.060000000       0.18982759
 -0.024000000       0.22500000
 -0.012000000       0.22500000
    0.0000000       0.22500000
  0.012000000       0.22500000
  0.024000000       0.22500000
 -0.054000000      0.031551724
 -0.042000000      0.031551724
 -0.030000000      0.031551724
 -0.018000000      0.031551724
-0.0060000000      0.031551724
 0.0060000000      0.031551724
  0.018000000      0.031551724
  0.030000000      0.031551724
  0.042000000      0.031551724
  0.054000000      0.031551724
 -0.054000000      0.066724138
 -0.042000000      0.066724138
 -0.030000000      0.066724138
 -0.018000000      0.066724138
-0.0060000000      0.066724138
 0.0060000000      0.066724138
  0.018000000      0.066724138
  0.030000000      0.066724138
  0.042000000      0.066724138
  0.054000000      0.066724138
 -0.054000000       0.10189655
 -0.042000000       0.10189655
 -0.030000000       0.10189655
 -0.018000000       0.10189655
-0.0060000000       0.10189655
 0.0060000000       0.10189655
  0.018000000       0.10189655
  0.030000000       0.10189655
  0.042000000       0.10189655
  0.054000000       0.10189655
 -0.054000000       0.13706897
 -0.042000000       0.13706897
 -0.030000000       0.13706897
 -0.018000000       0.13706897
-0.0060000000       0.13706897
 0.0060000000       0.13706897
  0.018000000       0.13706897
  0.030000000       0.13706897
  0.042000000       0.13706897
  0.054000000       0.13706897
 -0.054000000       0.17224138
 -0.042000000       0.17224138
 -0.030000000       0.17224138
 -0.018000000       0.17224138
-0.0060000000       0.17224138
 0.0060000000       0.17224138
  0.018000000       0.17224138
  0.030000000       0.17224138
  0.042000000       0.17224138
  0.054000000       0.17224138
 -0.054000000       0.20741379
 -0.042000000       0.20741379
 -0.030000000       0.20741379
 -0.018000000       0.20741379
-0.0060000000       0.20741379
 0.0060000000       0.20741379
  0.018000000       0.20741379
  0.030000000       0.20741379
  0.042000000       0.20741379
  0.054000000       0.20741379
 -0.060000000     -0.013965517
 -0.048000000     -0.013965517
 -0.036000000     -0.013965517
 -0.024000000     -0.013965517
 -0.012000000     -0.013965517
    0.0000000     -0.013965517
  0.012000000     -0.013965517
  0.024000000     -0.013965517
  0.036000000     -0.013965517
  0.048000000     -0.013965517
  0.060000000     -0.013965517
 -0.060000000     -0.049137931
 -0.048000000     -0.049137931
 -0.036000000     -0.049137931
 -0.024000000     -0.049137931
 -0.012000000     -0.049137931
    0.0000000     -0.049137931
  0.012000000     -0.049137931
  0.024000000     -0.049137931
  0.036000000     -0.049137931
  0.048000000     -0.049137931
  0.060000000     -0.049137931
 -0.060000000     -0.084310345
 -0.048000000     -0.084310345
 -0.036000000     -0.084310345
 -0.024000000     -0.084310345
 -0.012000000     -0.084310345
    0.0000000     -0.084310345
  0.012000000     -0.084310345
  0.024000000     -0.084310345
  0.036000000     -0.084310345
  0.048000000     -0.084310345
  0.060000000     -0.084310345
 -0.060000000      -0.11948276
 -0.048000000      -0.11948276
 -0.036000000      -0.11948276
 -0.024000000      -0.11948276
 -0.012000000      -0.11948276
    0.0000000      -0.11948276
  0.012000000      -0.11948276
  0.024000000      -0.11948276
  0.036000000      -0.11948276
  0.048000000      -0.11948276
  0.060000000      -0.11948276
 -0.060000000      -0.15465517
 -0.048000000      -0.15465517
 -0.036000000      -0.15465517
 -0.024000000      -0.15465517
 -0.012000000      -0.15465517
    0.0000000      -0.15465517
  0.012000000      -0.15465517
  0.024000000      -0.15465517
  0.036000000      -0.15465517
  0.048000000      -0.15465517
  0.060000000      -0.15465517
 -0.060000000      -0.18982759
 -0.048000000      -0.18982759
 -0.036000000      -0.18982759
 -0.024000000      -0.18982759
 -0.012000000      -0.18982759
    0.0000000      -0.18982759
  0.012000000      -0.18982759
  0.024000000      -0.18982759
  0.036000000      -0.18982759
  0.048000000      -0.18982759
  0.060000000      -0.18982759
 -0.024000000      -0.22500000
 -0.012000000      -0.22500000
    0.0000000      -0.22500000
  0.012000000      -0.22500000
  0.024000000      -0.22500000
 -0.054000000     -0.031551724
