; This ASCII spreadsheet file contains the y- and z-coordinates
; of the GRID-holes in the beam coordinate system used by the STARK-code
; (this is the coordinate system with the x-axis on the beam axis and
;  the y-axis in the xy-plane of the machine coordinate system).
; The coordinates are given in [m].
;
;     y [m]        z[m]
   -0.0825000    0.0135000
   -0.0660000    0.0135000
   -0.0495000    0.0135000
   -0.0330000    0.0135000
   -0.0165000    0.0135000
      0.00000    0.0135000
    0.0165000    0.0135000
    0.0330000    0.0135000
    0.0495000    0.0135000
    0.0660000    0.0135000
    0.0825000    0.0135000
   -0.0825000    0.0475000
   -0.0660000    0.0475000
   -0.0495000    0.0475000
   -0.0330000    0.0475000
   -0.0165000    0.0475000
      0.00000    0.0475000
    0.0165000    0.0475000
    0.0330000    0.0475000
    0.0495000    0.0475000
    0.0660000    0.0475000
    0.0825000    0.0475000
   -0.0825000    0.0815000
   -0.0660000    0.0815000
   -0.0495000    0.0815000
   -0.0330000    0.0815000
   -0.0165000    0.0815000
      0.00000    0.0815000
    0.0165000    0.0815000
    0.0330000    0.0815000
    0.0495000    0.0815000
    0.0660000    0.0815000
    0.0825000    0.0815000
   -0.0825000     0.115500
   -0.0660000     0.115500
   -0.0495000     0.115500
   -0.0330000     0.115500
   -0.0165000     0.115500
      0.00000     0.115500
    0.0165000     0.115500
    0.0330000     0.115500
    0.0495000     0.115500
    0.0660000     0.115500
    0.0825000     0.115500
   -0.0825000     0.149500
   -0.0660000     0.149500
   -0.0495000     0.149500
   -0.0330000     0.149500
   -0.0165000     0.149500
      0.00000     0.149500
    0.0165000     0.149500
    0.0330000     0.149500
    0.0495000     0.149500
    0.0660000     0.149500
    0.0825000     0.149500
   -0.0825000     0.183500
   -0.0660000     0.183500
   -0.0495000     0.183500
   -0.0330000     0.183500
   -0.0165000     0.183500
      0.00000     0.183500
    0.0165000     0.183500
    0.0330000     0.183500
    0.0495000     0.183500
    0.0660000     0.183500
    0.0825000     0.183500
   -0.0330000     0.217500
   -0.0165000     0.217500
      0.00000     0.217500
    0.0165000     0.217500
    0.0330000     0.217500
   -0.0742500    0.0305000
   -0.0577500    0.0305000
   -0.0412500    0.0305000
   -0.0247500    0.0305000
  -0.00825000    0.0305000
   0.00825000    0.0305000
    0.0247500    0.0305000
    0.0412500    0.0305000
    0.0577500    0.0305000
    0.0742500    0.0305000
   -0.0742500    0.0645000
   -0.0577500    0.0645000
   -0.0412500    0.0645000
   -0.0247500    0.0645000
  -0.00825000    0.0645000
   0.00825000    0.0645000
    0.0247500    0.0645000
    0.0412500    0.0645000
    0.0577500    0.0645000
    0.0742500    0.0645000
   -0.0742500    0.0985000
   -0.0577500    0.0985000
   -0.0412500    0.0985000
   -0.0247500    0.0985000
  -0.00825000    0.0985000
   0.00825000    0.0985000
    0.0247500    0.0985000
    0.0412500    0.0985000
    0.0577500    0.0985000
    0.0742500    0.0985000
   -0.0742500     0.132500
   -0.0577500     0.132500
   -0.0412500     0.132500
   -0.0247500     0.132500
  -0.00825000     0.132500
   0.00825000     0.132500
    0.0247500     0.132500
    0.0412500     0.132500
    0.0577500     0.132500
    0.0742500     0.132500
   -0.0742500     0.166500
   -0.0577500     0.166500
   -0.0412500     0.166500
   -0.0247500     0.166500
  -0.00825000     0.166500
   0.00825000     0.166500
    0.0247500     0.166500
    0.0412500     0.166500
    0.0577500     0.166500
    0.0742500     0.166500
   -0.0742500     0.200500
   -0.0577500     0.200500
   -0.0412500     0.200500
   -0.0247500     0.200500
  -0.00825000     0.200500
   0.00825000     0.200500
    0.0247500     0.200500
    0.0412500     0.200500
    0.0577500     0.200500
    0.0742500     0.200500
   -0.0825000   -0.0135000
   -0.0660000   -0.0135000
   -0.0495000   -0.0135000
   -0.0330000   -0.0135000
   -0.0165000   -0.0135000
      0.00000   -0.0135000
    0.0165000   -0.0135000
    0.0330000   -0.0135000
    0.0495000   -0.0135000
    0.0660000   -0.0135000
    0.0825000   -0.0135000
   -0.0825000   -0.0475000
   -0.0660000   -0.0475000
   -0.0495000   -0.0475000
   -0.0330000   -0.0475000
   -0.0165000   -0.0475000
      0.00000   -0.0475000
    0.0165000   -0.0475000
    0.0330000   -0.0475000
    0.0495000   -0.0475000
    0.0660000   -0.0475000
    0.0825000   -0.0475000
   -0.0825000   -0.0815000
   -0.0660000   -0.0815000
   -0.0495000   -0.0815000
   -0.0330000   -0.0815000
   -0.0165000   -0.0815000
      0.00000   -0.0815000
    0.0165000   -0.0815000
    0.0330000   -0.0815000
    0.0495000   -0.0815000
    0.0660000   -0.0815000
    0.0825000   -0.0815000
   -0.0825000    -0.115500
   -0.0660000    -0.115500
   -0.0495000    -0.115500
   -0.0330000    -0.115500
   -0.0165000    -0.115500
      0.00000    -0.115500
    0.0165000    -0.115500
    0.0330000    -0.115500
    0.0495000    -0.115500
    0.0660000    -0.115500
    0.0825000    -0.115500
   -0.0825000    -0.149500
   -0.0660000    -0.149500
   -0.0495000    -0.149500
   -0.0330000    -0.149500
   -0.0165000    -0.149500
      0.00000    -0.149500
    0.0165000    -0.149500
    0.0330000    -0.149500
    0.0495000    -0.149500
    0.0660000    -0.149500
    0.0825000    -0.149500
   -0.0825000    -0.183500
   -0.0660000    -0.183500
   -0.0495000    -0.183500
   -0.0330000    -0.183500
   -0.0165000    -0.183500
      0.00000    -0.183500
    0.0165000    -0.183500
    0.0330000    -0.183500
    0.0495000    -0.183500
    0.0660000    -0.183500
    0.0825000    -0.183500
   -0.0330000    -0.217500
   -0.0165000    -0.217500
      0.00000    -0.217500
    0.0165000    -0.217500
    0.0330000    -0.217500
   -0.0742500   -0.0305000
   -0.0577500   -0.0305000
   -0.0412500   -0.0305000
   -0.0247500   -0.0305000
  -0.00825000   -0.0305000
   0.00825000   -0.0305000
    0.0247500   -0.0305000
    0.0412500   -0.0305000
    0.0577500   -0.0305000
