; Filtershape based upon a single Lorentzian with FWHM=1.0A
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0154095
    0.0402009    0.0157190
    0.0804019    0.0160379
     0.120603    0.0163666
     0.160804    0.0167054
     0.201005    0.0170547
     0.241206    0.0174151
     0.281407    0.0177870
     0.321608    0.0181708
     0.361809    0.0185671
     0.402010    0.0189764
     0.442211    0.0193993
     0.482412    0.0198365
     0.522613    0.0202884
     0.562814    0.0207559
     0.603015    0.0212396
     0.643216    0.0217402
     0.683417    0.0222587
     0.723618    0.0227958
     0.763819    0.0233523
     0.804020    0.0239294
     0.844221    0.0245279
     0.884422    0.0251490
     0.924623    0.0257937
     0.964824    0.0264634
      1.00503    0.0271592
      1.04523    0.0278825
      1.08543    0.0286348
      1.12563    0.0294177
      1.16583    0.0302328
      1.20603    0.0310819
      1.24623    0.0319668
      1.28643    0.0328897
      1.32663    0.0338526
      1.36683    0.0348579
      1.40704    0.0359081
      1.44724    0.0370059
      1.48744    0.0381541
      1.52764    0.0393558
      1.56784    0.0406144
      1.60804    0.0419334
      1.64824    0.0433167
      1.68844    0.0447686
      1.72864    0.0462934
      1.76884    0.0478962
      1.80905    0.0495822
      1.84925    0.0513571
      1.88945    0.0532272
      1.92965    0.0551994
      1.96985    0.0572809
      2.01005    0.0594798
      2.05025    0.0618050
      2.09045    0.0642659
      2.13065    0.0668733
      2.17085    0.0696384
      2.21106    0.0725741
      2.25126    0.0756941
      2.29146    0.0790138
      2.33166    0.0825499
      2.37186    0.0863211
      2.41206    0.0903479
      2.45226    0.0946530
      2.49246    0.0992615
      2.53266     0.104201
      2.57286     0.109504
      2.61307     0.115203
      2.65327     0.121338
      2.69347     0.127951
      2.73367     0.135091
      2.77387     0.142811
      2.81407     0.151171
      2.85427     0.160239
      2.89447     0.170089
      2.93467     0.180807
      2.97487     0.192488
      3.01508     0.205236
      3.05528     0.219171
      3.09548     0.234425
      3.13568     0.251144
      3.17588     0.269491
      3.21608     0.289642
      3.25628     0.311790
      3.29648     0.336141
      3.33668     0.362910
      3.37688     0.392315
      3.41709     0.424565
      3.45729     0.459847
      3.49749     0.498298
      3.53769     0.539976
      3.57789     0.584814
      3.61809     0.632565
      3.65829     0.682737
      3.69849     0.734524
      3.73869     0.786739
      3.77889     0.837786
      3.81910     0.885676
      3.85930     0.928119
      3.89950     0.962719
      3.93970     0.987256
      3.97990      1.00000
      4.02010      1.00000
      4.06030     0.987257
      4.10050     0.962719
      4.14070     0.928118
      4.18090     0.885676
      4.22111     0.837786
      4.26131     0.786738
      4.30151     0.734524
      4.34171     0.682737
      4.38191     0.632565
      4.42211     0.584814
      4.46231     0.539976
      4.50251     0.498298
      4.54271     0.459847
      4.58291     0.424565
      4.62312     0.392315
      4.66332     0.362910
      4.70352     0.336141
      4.74372     0.311790
      4.78392     0.289642
      4.82412     0.269491
      4.86432     0.251144
      4.90452     0.234425
      4.94472     0.219171
      4.98492     0.205236
      5.02513     0.192488
      5.06533     0.180807
      5.10553     0.170089
      5.14573     0.160239
      5.18593     0.151171
      5.22613     0.142811
      5.26633     0.135091
      5.30653     0.127951
      5.34673     0.121338
      5.38693     0.115203
      5.42714     0.109504
      5.46734     0.104201
      5.50754    0.0992615
      5.54774    0.0946530
      5.58794    0.0903479
      5.62814    0.0863211
      5.66834    0.0825499
      5.70854    0.0790138
      5.74874    0.0756941
      5.78894    0.0725741
      5.82915    0.0696384
      5.86935    0.0668733
      5.90955    0.0642659
      5.94975    0.0618050
      5.98995    0.0594798
      6.03015    0.0572809
      6.07035    0.0551994
      6.11055    0.0532272
      6.15075    0.0513571
      6.19095    0.0495822
      6.23116    0.0478962
      6.27136    0.0462934
      6.31156    0.0447686
      6.35176    0.0433167
      6.39196    0.0419334
      6.43216    0.0406144
      6.47236    0.0393558
      6.51256    0.0381541
      6.55276    0.0370059
      6.59296    0.0359081
      6.63317    0.0348579
      6.67337    0.0338526
      6.71357    0.0328897
      6.75377    0.0319668
      6.79397    0.0310819
      6.83417    0.0302328
      6.87437    0.0294177
      6.91457    0.0286348
      6.95477    0.0278825
      6.99498    0.0271592
      7.03518    0.0264634
      7.07538    0.0257937
      7.11558    0.0251490
      7.15578    0.0245279
      7.19598    0.0239294
      7.23618    0.0233523
      7.27638    0.0227958
      7.31658    0.0222587
      7.35678    0.0217402
      7.39699    0.0212396
      7.43719    0.0207559
      7.47739    0.0202884
      7.51759    0.0198365
      7.55779    0.0193993
      7.59799    0.0189764
      7.63819    0.0185671
      7.67839    0.0181708
      7.71859    0.0177870
      7.75879    0.0174151
      7.79900    0.0170547
      7.83920    0.0167054
      7.87940    0.0163666
      7.91960    0.0160379
      7.95980    0.0157190
      8.00000    0.0154095
