; Filtershape based upon a two Lorentzians with FWHM=1.0A
; shifted +0.3A and -0.3A respectively
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000    0.0156625
    0.0402009    0.0159822
    0.0804019    0.0163119
     0.120603    0.0166518
     0.160804    0.0170024
     0.201005    0.0173643
     0.241206    0.0177378
     0.281407    0.0181235
     0.321608    0.0185218
     0.361809    0.0189335
     0.402010    0.0193590
     0.442211    0.0197990
     0.482412    0.0202542
     0.522613    0.0207253
     0.562814    0.0212129
     0.603015    0.0217180
     0.643216    0.0222412
     0.683417    0.0227836
     0.723618    0.0233461
     0.763819    0.0239296
     0.804020    0.0245353
     0.844221    0.0251641
     0.884422    0.0258175
     0.924623    0.0264966
     0.964824    0.0272027
      1.00503    0.0279375
      1.04523    0.0287023
      1.08543    0.0294989
      1.12563    0.0303291
      1.16583    0.0311947
      1.20603    0.0320978
      1.24623    0.0330405
      1.28643    0.0340253
      1.32663    0.0350547
      1.36683    0.0361313
      1.40704    0.0372581
      1.44724    0.0384382
      1.48744    0.0396751
      1.52764    0.0409723
      1.56784    0.0423339
      1.60804    0.0437642
      1.64824    0.0452678
      1.68844    0.0468497
      1.72864    0.0485155
      1.76884    0.0502711
      1.80905    0.0521230
      1.84925    0.0540784
      1.88945    0.0561449
      1.92965    0.0583310
      1.96985    0.0606460
      2.01005    0.0631000
      2.05025    0.0657043
      2.09045    0.0684711
      2.13065    0.0714139
      2.17085    0.0745476
      2.21106    0.0778887
      2.25126    0.0814554
      2.29146    0.0852679
      2.33166    0.0893486
      2.37186    0.0937222
      2.41206    0.0984166
      2.45226     0.103462
      2.49246     0.108894
      2.53266     0.114750
      2.57286     0.121072
      2.61307     0.127910
      2.65327     0.135315
      2.69347     0.143348
      2.73367     0.152076
      2.77387     0.161572
      2.81407     0.171920
      2.85427     0.183211
      2.89447     0.195545
      2.93467     0.209034
      2.97487     0.223798
      3.01508     0.239964
      3.05528     0.257667
      3.09548     0.277043
      3.13568     0.298224
      3.17588     0.321331
      3.21608     0.346455
      3.25628     0.373645
      3.29648     0.402880
      3.33668     0.434040
      3.37688     0.466874
      3.41709     0.500963
      3.45729     0.535699
      3.49749     0.570274
      3.53769     0.603707
      3.57789     0.634915
      3.61809     0.662827
      3.65829     0.686534
      3.69849     0.705445
      3.73869     0.719398
      3.77889     0.728699
      3.81910     0.734070
      3.85930     0.736507
      3.89950     0.737102
      3.93970     0.736858
      3.97990     0.736533
      4.02010     0.736533
      4.06030     0.736858
      4.10050     0.737102
      4.14070     0.736507
      4.18090     0.734070
      4.22111     0.728699
      4.26131     0.719398
      4.30151     0.705445
      4.34171     0.686534
      4.38191     0.662827
      4.42211     0.634915
      4.46231     0.603707
      4.50251     0.570274
      4.54271     0.535699
      4.58291     0.500963
      4.62312     0.466874
      4.66332     0.434040
      4.70352     0.402880
      4.74372     0.373645
      4.78392     0.346455
      4.82412     0.321331
      4.86432     0.298224
      4.90452     0.277043
      4.94472     0.257667
      4.98492     0.239964
      5.02513     0.223798
      5.06533     0.209034
      5.10553     0.195545
      5.14573     0.183211
      5.18593     0.171920
      5.22613     0.161572
      5.26633     0.152076
      5.30653     0.143348
      5.34673     0.135315
      5.38693     0.127910
      5.42714     0.121073
      5.46734     0.114750
      5.50754     0.108894
      5.54774     0.103462
      5.58794    0.0984166
      5.62814    0.0937222
      5.66834    0.0893486
      5.70854    0.0852679
      5.74874    0.0814554
      5.78894    0.0778887
      5.82915    0.0745476
      5.86935    0.0714139
      5.90955    0.0684711
      5.94975    0.0657043
      5.98995    0.0631000
      6.03015    0.0606460
      6.07035    0.0583310
      6.11055    0.0561449
      6.15075    0.0540784
      6.19095    0.0521230
      6.23116    0.0502711
      6.27136    0.0485155
      6.31156    0.0468497
      6.35176    0.0452678
      6.39196    0.0437642
      6.43216    0.0423339
      6.47236    0.0409723
      6.51256    0.0396751
      6.55276    0.0384382
      6.59296    0.0372581
      6.63317    0.0361313
      6.67337    0.0350547
      6.71357    0.0340253
      6.75377    0.0330405
      6.79397    0.0320978
      6.83417    0.0311947
      6.87437    0.0303291
      6.91457    0.0294989
      6.95477    0.0287023
      6.99498    0.0279375
      7.03518    0.0272027
      7.07538    0.0264966
      7.11558    0.0258175
      7.15578    0.0251641
      7.19598    0.0245353
      7.23618    0.0239296
      7.27638    0.0233461
      7.31658    0.0227836
      7.35678    0.0222412
      7.39699    0.0217180
      7.43719    0.0212129
      7.47739    0.0207253
      7.51759    0.0202542
      7.55779    0.0197990
      7.59799    0.0193590
      7.63819    0.0189335
      7.67839    0.0185218
      7.71859    0.0181235
      7.75879    0.0177378
      7.79900    0.0173643
      7.83920    0.0170024
      7.87940    0.0166518
      7.91960    0.0163119
      7.95980    0.0159822
      8.00000    0.0156625
