; Filtershape based upon a single Lorentzian with FWHM=1.0A
;
;Wavelength [A]  Transmission
;--------------  ------------
      0.00000      0.00000
    0.0500000  0.000330606
     0.100000  0.000675200
     0.150000   0.00103445
     0.200000   0.00140907
     0.250000   0.00179980
     0.300000   0.00220744
     0.350000   0.00263282
     0.400000   0.00307682
     0.450000   0.00354040
     0.500000   0.00402455
     0.550000   0.00453032
     0.600000   0.00505884
     0.650000   0.00561131
     0.700000   0.00618898
     0.750000   0.00679322
     0.800000   0.00742546
     0.850000   0.00808722
     0.900000   0.00878013
     0.950000   0.00950594
      1.00000    0.0102665
      1.05000    0.0110638
      1.10000    0.0118999
      1.15000    0.0127772
      1.20000    0.0136980
      1.25000    0.0146649
      1.30000    0.0156808
      1.35000    0.0167485
      1.40000    0.0178714
      1.45000    0.0190528
      1.50000    0.0202966
      1.55000    0.0216065
      1.60000    0.0229871
      1.65000    0.0244429
      1.70000    0.0259790
      1.75000    0.0276007
      1.80000    0.0293140
      1.85000    0.0311251
      1.90000    0.0330411
      1.95000    0.0350693
      2.00000    0.0372180
      2.05000    0.0394959
      2.10000    0.0419127
      2.15000    0.0444789
      2.20000    0.0472061
      2.25000    0.0501067
      2.30000    0.0531946
      2.35000    0.0564847
      2.40000    0.0599938
      2.45000    0.0624390
      2.50000    0.0650333
      2.55000    0.0677886
      2.60000    0.0707182
      2.65000    0.0738367
      2.70000    0.0771601
      2.75000    0.0807062
      2.80000    0.0844946
      2.85000    0.0885473
      2.90000    0.0928882
      2.95000    0.0975445
      3.00000     0.102546
      3.05000     0.107926
      3.10000     0.113722
      3.15000     0.119975
      3.20000     0.126733
      3.25000     0.134047
      3.30000     0.141977
      3.35000     0.150588
      3.40000     0.159956
      3.45000     0.170162
      3.50000     0.181303
      3.55000     0.193483
      3.60000     0.206822
      3.65000     0.221453
      3.70000     0.237526
      3.75000     0.255206
      3.80000     0.274678
      3.85000     0.296144
      3.90000     0.319822
      3.95000     0.345946
      4.00000     0.374756
      4.05000     0.406493
      4.10000     0.441379
      4.15000     0.479600
      4.20000     0.521267
      4.25000     0.566372
      4.30000     0.614728
      4.35000     0.665896
      4.40000     0.719101
      4.45000     0.773154
      4.50000     0.826399
      4.55000     0.876712
      4.60000     0.921600
      4.65000     0.958403
      4.70000     0.984615
      4.75000     0.998267
      4.80000     0.998267
      4.85000     0.984615
      4.90000     0.958403
      4.95000     0.921600
      5.00000     0.876712
      5.05000     0.826399
      5.10000     0.773154
      5.15000     0.719101
      5.20000     0.665896
      5.25000     0.614728
      5.30000     0.566372
      5.35000     0.521267
      5.40000     0.479600
      5.45000     0.441379
      5.50000     0.406493
      5.55000     0.374756
      5.60000     0.345946
      5.65000     0.319822
      5.70000     0.296144
      5.75000     0.274678
      5.80000     0.255206
      5.85000     0.237526
      5.90000     0.221453
      5.95000     0.206822
      6.00000     0.193483
      6.05000     0.181303
      6.10000     0.170162
      6.15000     0.159956
      6.20000     0.150588
      6.25000     0.141977
      6.30000     0.134047
      6.35000     0.126733
      6.40000     0.119975
      6.45000     0.113722
      6.50000     0.107926
      6.55000     0.102546
      6.60000    0.0975445
      6.65000    0.0928882
      6.70000    0.0885473
      6.75000    0.0844946
      6.80000    0.0807062
      6.85000    0.0771601
      6.90000    0.0738367
      6.95000    0.0707182
      7.00000    0.0677886
      7.05000    0.0650333
      7.10000    0.0624390
      7.15000    0.0599938
      7.20000    0.0564847
      7.25000    0.0531946
      7.30000    0.0501067
      7.35000    0.0472061
      7.40000    0.0444789
      7.45000    0.0419127
      7.50000    0.0394959
      7.55000    0.0372180
      7.60000    0.0350693
      7.65000    0.0330411
      7.70000    0.0311251
      7.75000    0.0293140
      7.80000    0.0276007
      7.85000    0.0259790
      7.90000    0.0244429
      7.95000    0.0229871
      8.00000    0.0216065
      8.05000    0.0202966
      8.10000    0.0190528
      8.15000    0.0178714
      8.20000    0.0167485
      8.25000    0.0156808
      8.30000    0.0146649
      8.35000    0.0136980
      8.40000    0.0127772
      8.45000    0.0118999
      8.50000    0.0110638
      8.55000    0.0102665
      8.60000   0.00950594
      8.65000   0.00878013
      8.70000   0.00808722
      8.75000   0.00742546
      8.80000   0.00679322
      8.85000   0.00618898
      8.90000   0.00561131
      8.95000   0.00505884
      9.00000   0.00453032
      9.05000   0.00402455
      9.10000   0.00354040
      9.15000   0.00307682
      9.20000   0.00263282
      9.25000   0.00220744
      9.30000   0.00179980
      9.35000   0.00140907
      9.40000   0.00103445
      9.45000  0.000675200
      9.50000  0.000330606
      9.55000      0.00000
